id,iq,Te
-120,0,0
-110,0,0
-100,0,0
-90,0,0
-80,0,0
-70,0,0
-60,0,0
-50,0,0
-40,0,0
-30,0,0
-20,0,0
-10,0,0
0,0,0
-120,10,15.04
-110,10,14.9
-100,10,14.22
-90,10,13.56
-80,10,12.89
-70,10,12.17
-60,10,11.45
-50,10,10.62
-40,10,9.788
-30,10,8.838
-20,10,7.815
-10,10,6.803
0,10,5.786
-120,20,30.69
-110,20,29.22
-100,20,27.92
-90,20,26.21
-80,20,24.61
-70,20,23.27
-60,20,21.81
-50,20,20.19
-40,20,18.46
-30,20,16.66
-20,20,14.75
-10,20,13.02
0,20,11.21
-120,30,43.23
-110,30,40.92
-100,30,38.62
-90,30,36.32
-80,30,33.95
-70,30,31.62
-60,30,29.4
-50,30,27.49
-40,30,25.34
-30,30,23.07
-20,30,20.83
-10,30,18.51
0,30,16.27
-120,40,54.52
-110,40,51.61
-100,40,48.67
-90,40,46.07
-80,40,43.16
-70,40,39.96
-60,40,37.03
-50,40,34.06
-40,40,31.25
-30,40,28.62
-20,40,26.07
-10,40,23.33
0,40,21.13
-120,50,66.18
-110,50,62.46
-100,50,58.65
-90,50,54.77
-80,50,50.58
-70,50,47.24
-60,50,43.87
-50,50,40.53
-40,50,36.86
-30,50,33.97
-20,50,30.91
-10,50,27.82
0,50,25.06
-120,60,75.63
-110,60,71.38
-100,60,66.78
-90,60,62.14
-80,60,57.34
-70,60,52.86
-60,60,48.9
-50,60,45.46
-40,60,42.21
-30,60,38.98
-20,60,35.67
-10,60,32.46
0,60,29.7
-120,70,79.19
-110,70,75.42
-100,70,71.5
-90,70,67.2
-80,70,62.55
-70,70,58.63
-60,70,54.8
-50,70,50.54
-40,70,46.92
-30,70,43.98
-20,70,40.51
-10,70,37.28
0,70,34.33
-120,80,86.64
-110,80,82.72
-100,80,78.31
-90,80,73.57
-80,80,68.92
-70,80,64.23
-60,80,59.43
-50,80,55.3
-40,80,51.51
-30,80,48.14
-20,80,45.04
-10,80,41.7
0,80,38.7
-120,90,91.66
-110,90,87.65
-100,90,83.14
-90,90,78.67
-80,90,73.65
-70,90,69.07
-60,90,63.95
-50,90,59.59
-40,90,55.47
-30,90,52.1
-20,90,48.52
-10,90,45.02
0,90,41.73
-120,100,96.41
-110,100,92.01
-100,100,87.27
-90,100,82.85
-80,100,78.15
-70,100,73.15
-60,100,68.26
-50,100,63.59
-40,100,59.08
-30,100,55.98
-20,100,52.25
-10,100,48.33
0,100,45.12
-120,110,102.3
-110,110,97.5
-100,110,92.59
-90,110,86.97
-80,110,81.98
-70,110,77.2
-60,110,71.79
-50,110,67.55
-40,110,62.93
-30,110,59.47
-20,110,55.28
-10,110,50.95
0,110,47.81
-120,120,104.4
-110,120,98.4
-100,120,93.6
-90,120,88.91
-80,120,84.64
-70,120,79.45
-60,120,74.71
-50,120,69.86
-40,120,65.42
-30,120,60.83
-20,120,56.38
-10,120,51.55
0,120,47.85
